checkpoint,psnr,ssim,mse
dncnn,20.104614564307862,0.6831466288372899,0.009761995
scunet,28.474733249793832,0.9581170456325223,0.0014207793
scunet_star,28.584469705336048,0.9667343403771023,0.0013853291
unet,27.78093502572551,0.9709483123831365,0.0016668877
